panel_id,kind,series_id,q,energy_mev,line_color,line_style,line_width,alpha,zorder,marker,marker_size,marker_face,marker_edge,edge_width
a_001,line,ref_1,0.0,24.428272963166965,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.02127659574468085,24.496626812862278,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.0425531914893617,24.57553285094569,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.06382978723404255,24.666498409570124,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.0851063829787234,24.771205136941973,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.10638297872340426,24.891515220894686,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.1276595744680851,25.02947251645575,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.14893617021276595,25.18729645620188,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.1702127659574468,25.36736620781266,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.19148936170212766,25.572192179988768,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.2127659574468085,25.804371748494173,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.23404255319148937,26.06652609366349,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.2553191489361702,26.361215455452893,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.2765957446808511,26.690831087877882,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.2978723404255319,27.057463890725305,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.3191489361702128,27.46275221992266,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.3404255319148936,27.90771471941327,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.36170212765957444,28.392577975321483,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.3829787234042553,28.916612908526687,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.40425531914893614,29.47799735570987,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.425531914893617,30.073724284354086,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.44680851063829785,30.69957454363933,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.46808510638297873,31.350169211499626,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.48936170212765956,32.01910927409921,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.5106382978723404,32.69920022314655,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.5319148936170213,33.382747728063144,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.5531914893617021,34.06190002282912,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.5744680851063829,34.729005325404,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.5957446808510638,35.376950187778526,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.6170212765957447,35.99944773921752,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.6382978723404256,36.59125259817844,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.6595744680851063,37.1482899798174,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.6808510638297872,37.66769790814181,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.7021276595744681,38.14779131872884,#8b8b8b,--,0.8,0.95,1.0,,,,,
a_001,line,ref_1,0.7234042553191489,38.58796376053556,#8b8b8b,--,0.8,0.95,1.0,,,,,
